comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version
CMP13,R26,R10,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both evaluate the main findings summary (C3-C11). OpenEval finds these SUPPORTED as well-supported by detailed experimental evidence. Peer reviewers rate this UNCERTAIN, acknowledging valuable findings with theoretical and practical implications but stating the evidence is incomplete, particularly emphasizing lack of proof that A-beta is the activating signal in vivo and that the title and abstract are misleading.",9.0,9.0,9,elife-100446,v1
CMP14,R12,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C1-C2 (background on cortical malformations) as SUPPORTED based on established knowledge and citations. No corresponding peer review evaluation found.,2.0,,0,elife-100446,v1
CMP15,R13,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C13-C18 (A-beta oligomer toxicity literature) as SUPPORTED with appropriate citations. No corresponding peer review evaluation found.,6.0,,0,elife-100446,v1
CMP16,R14,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C19-C23 (physiological A-beta functions literature) as SUPPORTED. No corresponding peer review evaluation found.,5.0,,0,elife-100446,v1
CMP17,R15,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C24-C32 (glial cytokine regulation literature) as SUPPORTED. No corresponding peer review evaluation found.,9.0,,0,elife-100446,v1
CMP18,R16,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C82-C85 (rationale for investigating A-beta monomers) as SUPPORTED with appropriate citations. No corresponding peer review evaluation found.,4.0,,0,elife-100446,v1
CMP19,R17,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C97-C98 (APP-G protein interactions literature) as SUPPORTED. No corresponding peer review evaluation found.,2.0,,0,elife-100446,v1
CMP20,R18,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C117-C119 (microglial regulation during development literature) as SUPPORTED. No corresponding peer review evaluation found.,3.0,,0,elife-100446,v1
CMP21,R19,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C120-C122 (alternative APP ligands discussion) as SUPPORTED. No corresponding peer review evaluation found.,3.0,,0,elife-100446,v1
CMP22,R20,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C123-C124 (Nestin-Cre technical factors) as SUPPORTED. No corresponding peer review evaluation found.,2.0,,0,elife-100446,v1
CMP23,R21,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C125-C127 (activity-dependent A-beta production) as SUPPORTED. No corresponding peer review evaluation found.,3.0,,0,elife-100446,v1
CMP24,R22,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C131-C136 (A-beta pathways and synaptic plasticity literature) as SUPPORTED. No corresponding peer review evaluation found.,6.0,,0,elife-100446,v1
CMP25,R23,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C137-C138 (protective roles of A-beta monomers literature) as SUPPORTED. No corresponding peer review evaluation found.,2.0,,0,elife-100446,v1
CMP26,R24,,UNCERTAIN,,MINOR,,disjoint,"OpenEval evaluates C139-C141 (A-beta monomer depletion in Alzheimer's hypothesis) as UNCERTAIN, noting the causal connection remains speculative. No corresponding peer review evaluation found.",3.0,,0,elife-100446,v1
CMP27,R25,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates C142-C144 (MMP9 in neurodegenerative disease literature) as SUPPORTED. No corresponding peer review evaluation found.,3.0,,0,elife-100446,v1
CMP28,R27,,UNCERTAIN,,MINOR,,disjoint,"OpenEval evaluates C12 (speculative claim about overlooked A-beta monomer depletion role) as UNCERTAIN, noting it requires additional validation. No corresponding peer review evaluation found.",1.0,,0,elife-100446,v1
CMP29,R28,,UNCERTAIN,,MINOR,,disjoint,"OpenEval evaluates C128-C130 (speculative models for activity-dependent plasticity) as UNCERTAIN, noting they are hypothetical mechanisms requiring validation. No corresponding peer review evaluation found.",3.0,,0,elife-100446,v1
CMP1,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both strongly support the temporal characterization of IEG and LRG transcriptional waves (C1-C6, C70). OpenEval emphasizes RNA-seq validation and functional enrichment, while peer reviewers acknowledge the temporal distinction and protein translation requirement. Both evaluations are aligned as SUPPORTED, though peer review includes C64 and C128 which OpenEval addresses separately.",8.0,9.0,7,elife-89993,v1
CMP2,R2,R2,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Significant disagreement on temporal decoupling claims (C7-C10, C75, C78). OpenEval rates as SUPPORTED based on ATAC-seq data showing remodeling at 4 hr but not 1 hr. Peer reviewers rate as UNCERTAIN, with Reviewer 3 specifically noting that previous work found 1 hr remodeling and requesting further exploration of the 'temporal decoupling' claim.",8.0,6.0,6,elife-89993,v1
CMP3,R3,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on motif enrichment findings (C11-C14, C66, C85, C117). Both evaluations are SUPPORTED. OpenEval notes the high percentage of DARs with AP-1 (93%) and ISL1 (95%) motifs, while peer reviewers accept the AP-1 enrichment and its functional relevance without raising concerns.",7.0,7.0,7,elife-89993,v1
CMP4,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on protein synthesis requirement for chromatin remodeling (C15-C16, C44, C65, C87, C129). Both evaluations are SUPPORTED. OpenEval notes anisomycin blockade of FOS protein and chromatin remodeling; peer reviewers confirm the demonstration of protein translation necessity and validation of prior literature.",7.0,6.0,6,elife-89993,v1
CMP5,R5,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on Pdyn enhancer identification and characterization (C17-C19, C89-C90, C95). Both evaluations are SUPPORTED. OpenEval emphasizes parallel dependencies on activity and protein synthesis, while peer reviewers provide convincing evidence of Pdyn dependence on the distal regulatory region without raising concerns.",7.0,6.0,6,elife-89993,v1
CMP6,R6,R6,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Agreement on IEG regulation of LRGs and computational predictions (C20-C21, C71-C72, C91, C94). Both evaluations are SUPPORTED. OpenEval notes CRISPRa validation with Scg2 but cautions about simultaneous activation of 16 IEGs. Peer reviewers accept the computational and experimental approaches without questioning the methodology.",4.0,6.0,4,elife-89993,v1
CMP7,R7,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on CRISPRi necessity demonstration (C22-C23, C96). Both evaluations are SUPPORTED. OpenEval emphasizes complementary CRISPRi/CRISPRa approaches, while peer reviewers strongly support the functional validation with Reviewer 3 confirming necessity demonstration.",8.0,3.0,3,elife-89993,v1
CMP8,R7,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on CRISPRa sufficiency and specificity (C24-C25, C97-C98). Both evaluations are SUPPORTED. OpenEval notes the importance of the specificity control showing no effect on neighboring genes. Peer reviewers accept the sufficiency data and confirm the enhancer is Pdyn-specific.",8.0,4.0,4,elife-89993,v1
CMP9,R8,R9,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on conservation and cell type-specificity in human neurons (C26-C29, C46-C47, C67-C68, C101-C102). Both evaluations are SUPPORTED. OpenEval analyzes human RNA-seq/ATAC-seq data and synteny, while peer reviewers confirm conservation from rodents to humans and cell type-specific activity in GABAergic neurons.",11.0,8.0,8,elife-89993,v1
CMP10,R8,R10,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on cross-species functional validation in human cells (C30, C47, C68). Both evaluations are SUPPORTED. OpenEval notes HEK-293T validation demonstrates sufficiency but may not fully recapitulate neuronal contexts. Peer reviewers accept this evidence without criticism of the non-neuronal cell type.",11.0,3.0,3,elife-89993,v1
CMP11,R9,R11,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Perfect agreement on in vivo validation using snATAC-seq (C31-C32, C103-C104). Both evaluations are SUPPORTED. OpenEval emphasizes co-accessibility analysis as strong evidence for enhancer-promoter interactions. Peer reviewers accept the cell type-specific activity in rat striatum as convincing in vivo validation.",4.0,4.0,4,elife-89993,v1
CMP12,R11,R12,UNCERTAIN,SUPPORTED,MINOR,MAJOR,partial,"Disagreement on speculative claims and therapeutic implications (C48-C49, C69, C113-C121, C127, C130-C131). OpenEval rates as UNCERTAIN, noting these are explicitly speculative without direct experimental validation, particularly for therapeutic potential. Peer reviewers rate as SUPPORTED, treating mechanistic claims as accepted and therapeutic implications as having translational relevance.",14.0,7.0,6,elife-89993,v1
CMP13,R12,R6,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both address the regulatory relationship between IEGs and LRGs (C72, C123-C125). OpenEval rates as SUPPORTED but notes the 'direct link' claim is somewhat overstated based on correlation data. Peer reviewers (R6) accept the computational and experimental evidence supporting IEG regulation of Pdyn without questioning the directness of the relationship.",4.0,6.0,1,elife-89993,v1
CMP14,R13,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both address the core finding summarized in C128. OpenEval rates this summary statement as SUPPORTED by comprehensive RNA-seq and ATAC-seq data. Peer reviewers include C128 in their evaluation of temporal transcriptional waves, also rating as SUPPORTED.",1.0,9.0,1,elife-89993,v1
CMP15,R10,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates literature-based contextual claims (C33-C43, C50-C63, C73-C74, C76-C77, C79-C80, C82-C84, C93, C99-C100, C105-C106, C108-C112, C122, C126) as SUPPORTED by appropriate citations. Peer reviewers do not explicitly evaluate these background/contextual claims separately.",46.0,,0,elife-89993,v1
CMP1,R1,R10,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect agreement on background claims (C1-C14). Both evaluations recognize these as well-established foundational concepts about immune cell trafficking across the BBB, appropriately supported by citations. No concerns raised by either evaluation.",12.0,12.0,12,elife-91150,v1
CMP2,R7,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Both support biological findings from CD4+ T-cell analysis (C25-C35). OpenEval notes some interpretations are speculative while peer reviewers implicitly accept all findings without challenge. OpenEval provides more nuanced assessment of mechanistic claims.,11.0,11.0,11,elife-91150,v1
CMP3,R10,R8,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Complete agreement on limitations (C63-C66). Both evaluations affirm that limitations are transparently acknowledged and appropriately contextualized without undermining the tool's utility.,4.0,4.0,4,elife-91150,v1
CMP4,R11,R9,UNCERTAIN,SUPPORTED,MINOR,MINOR,partial,"Divergent assessments of future applications (C67-C72). OpenEval rates as UNCERTAIN, noting these are speculative without supporting data. Peer reviewers rate as SUPPORTED, treating them as reasonable extensions. OpenEval applies stricter evidence standards.",6.0,6.0,6,elife-91150,v1
CMP5,R8,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on broad applicability (C50-C55, C85-C86). Both affirm cross-species and cross-cell-type generalizability. OpenEval provides detailed technical assessment while peer review emphasizes practical utility across different immune cells.",8.0,9.0,8,elife-91150,v1
CMP6,R2,R6,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on limitations of manual analysis (C15-C18). Both recognize these establish motivation for the study. Peer review explicitly validates the problem statement, while OpenEval connects these claims to demonstrated experimenter variability.",6.0,4.0,4,elife-91150,v1
CMP7,R9,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Agreement on novel capabilities and comparison to existing tools (C58-C60). Both support claims about limitations of existing tools and UFMTrack's advantages. Peer reviewers note lack of clear software alternatives in the field.,5.0,3.0,3,elife-91150,v1
CMP8,R12,R12,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Agreement on experimental methods (C73-C79 overlap). Both evaluations accept methodological details as appropriate and well-documented. Peer review also covers training methodology (C80-C84) which OpenEval addresses separately in R3.,7.0,12.0,7,elife-91150,v1
CMP9,R5,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on eliminating experimenter bias and improving accuracy (C36-C37, C42-C44). Both affirm the comparison methodology. OpenEval emphasizes systematic error identification while peer review focuses on manual vs. software comparison. Peer R4 also includes time savings claims (C45-C47) that OpenEval addresses separately.",7.0,8.0,5,elife-91150,v1
CMP10,R3,R2,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Agreement on model performance metrics (C21-C24). Both accept technical performance comparisons without challenge. OpenEval provides detailed analysis of AP values and frame misalignment sensitivity. Peer review implicitly accepts through 'convincing framework' assessment.,9.0,4.0,4,elife-91150,v1
CMP11,R4,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on detection efficiency and performance metrics (C3, C38, C40-C41). Both affirm 90% detection efficiency and validation against manual analysis. Peer R1 also covers time savings (C48-C49, C61-C62) that OpenEval addresses in separate results R5 and R6.",5.0,9.0,4,elife-91150,v1
CMP12,R6,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on time analysis (C45-C49, C61). OpenEval R6 focuses specifically on time savings with detailed quantitative analysis. Peer R1 groups these with broader performance claims, affirming time savings as important benefit alongside accuracy.",6.0,9.0,3,elife-91150,v1
CMP13,R2,R11,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Partial overlap on flow-related observations (C19-C20). OpenEval groups these with broader limitations of manual analysis. Peer R11 treats them as descriptive observations of the experimental system, acknowledging flow as a challenge.",6.0,2.0,2,elife-91150,v1
CMP14,R3,R12,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Partial overlap on training methodology (C80-C84). OpenEval R3 addresses model training and performance metrics. Peer R12 groups training details with broader experimental methods, accepting technical implementation without question.",9.0,12.0,5,elife-91150,v1
CMP15,R6,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on time analysis (C45-C47). OpenEval R6 provides comprehensive time savings analysis. Peer R4 includes these claims within broader manual vs. software comparison, emphasizing time savings as key benefit.",6.0,8.0,3,elife-91150,v1
CMP16,R5,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Minimal overlap on bias elimination (C4, C62). OpenEval R5 focuses on eliminating experimenter bias with detailed analysis. Peer R1 briefly touches on these within broader performance validation, emphasizing accuracy and time savings.",7.0,9.0,2,elife-91150,v1
CMP17,R9,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Minimal overlap on tracking capabilities (C56). OpenEval R9 emphasizes novel tracking under flow conditions. Peer R5 focuses on cross-species/cell-type generalizability, with only tangential connection through broad applicability theme.",5.0,9.0,1,elife-91150,v1
CMP1,R3,R4,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,"Both evaluate the empirical analysis of model misspecification vs. noise (C4-C6, C34-C36, C47-C50, C53, C62). OpenEval rates as UNCERTAIN due to weak statistical evidence (pd 81.1%, small N=54) and temporal confounds. Peer reviewers are also UNCERTAIN but more critical, noting the result is 'a null result (failure to reject)' rather than positive identification of misspecification, and questioning its 'epistemological value' without follow-up exploration of what the insufficiency actually was.",13.0,12.0,12,elife-90082,v1
CMP2,R2,R2,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both evaluate the classification simulation (C31, C40, C41, C108). OpenEval rates as SUPPORTED, finding clear quantitative evidence and rigorous methodology. Peer reviewers rate as UNCERTAIN, acknowledging the simulation is convincing but questioning practical applicability, noting 'the toy problem examined is pretty extreme' and that standard posterior predictive checking might identify such issues, questioning whether the method adds value beyond existing techniques.",5.0,4.0,4,elife-90082,v1
CMP3,R1,R1,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both evaluate simulation results showing RNNs approximate behavioral models (C3, C19, C20, C37, C38, C57). OpenEval rates as SUPPORTED, citing strong quantitative evidence and internal consistency. Peer reviewers rate as UNCERTAIN despite acknowledging evidence is 'clear and compelling,' expressing concerns about generalizability to other tasks and noting Figure 3 shows cases where RNNs 'fall short of the ground-truth model,' challenging the assumption that RNNs explain maximum variance.",12.0,6.0,6,elife-90082,v1
CMP4,R1,R3,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Partial overlap on theoretical framework and early stopping correlation (C24, C25, C43, C44, C58). OpenEval R1 rates these claims as SUPPORTED within broader simulation validation. Peer R3 rates as UNCERTAIN, noting it's a 'novel application' but expressing concerns that 'the relationship between optimal epochs and behavioral stochasticity may not hold for every task' and that optimal epoch is influenced by parameters beyond inverse temperature.",12.0,6.0,5,elife-90082,v1
CMP5,R8,R5,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Both evaluate the uniform improvement finding (C73, C74). OpenEval rates as SUPPORTED, noting clear documentation of uniform improvement pattern and lack of interaction effect. Peer reviewers also rate as SUPPORTED, acknowledging the finding and the null effect evidence, though the editor notes caveats about applicability remain.",2.0,3.0,2,elife-90082,v1
CMP6,R17,R6,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Both evaluate limitations of data-driven approaches (C66, C67, C72 overlap with C70, C71). OpenEval rates as SUPPORTED, noting appropriate acknowledgment that RNNs complement but don't replace theoretical modeling. Peer reviewers also rate as SUPPORTED, explicitly affirming these are important limitations, with one reviewer stating they are 'relatively major ones' that readers should be aware of.",3.0,5.0,3,elife-90082,v1
CMP7,R11,R7,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Both evaluate methodological claims about machine learning practices and data requirements (C26, C27, C59). OpenEval rates as SUPPORTED, noting accurate statements about standard practices. Peer reviewers also rate as SUPPORTED, not challenging the claims but noting concerns about practical requirements for 'extensive pretraining (on >500 participants)' limiting applicability.",4.0,3.0,3,elife-90082,v1
CMP8,R6,R8,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Both evaluate acknowledged limitations about factors influencing estimates (C45, C68). OpenEval rates as SUPPORTED, noting appropriate caution about factors that could influence estimates. Peer reviewers also rate as SUPPORTED, explicitly noting the authors addressed these concerns and showed optimal epochs are primarily sensitive to underlying noise.",4.0,2.0,2,elife-90082,v1
CMP9,R10,R9,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Both evaluate literature citations about neural networks (C12, C15, C16, C17, C54). OpenEval rates as SUPPORTED, noting accurate summarization of prior work with appropriate citations. Peer reviewers also rate as SUPPORTED, not challenging the citations, with the editor noting 'simulations provide solid evidence' in context of this prior research.",10.0,5.0,5,elife-90082,v1
CMP10,R6,R6,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Partial overlap on limitations (C70, C71 in both). OpenEval R6 evaluates C45, C68, C70, C71 as SUPPORTED limitations. Peer R6 evaluates C66, C67, C70, C71, C72 as SUPPORTED, with both agreeing these are important caveats about validation needs and method boundaries.",4.0,5.0,2,elife-90082,v1
CMP11,R4,R5,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Minimal overlap (C107 only). OpenEval R4 evaluates main effects from Bayesian regression (C106, C107) as SUPPORTED with strong statistical evidence. Peer R5 evaluates uniform improvement (C73, C74, C107) as SUPPORTED. Both agree on the statistical finding but focus on different aspects.",2.0,3.0,1,elife-90082,v1
CMP12,R5,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates methodological claims about simulation design (C29, C30, C90, C91, C93, C94, C95) as SUPPORTED, noting clear documentation of parameters and standard practices. No corresponding peer review evaluation found for these specific methodological details.",7.0,,0,elife-90082,v1
CMP13,R7,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates the temporal gap limitation (C69) as SUPPORTED, noting it's an appropriately acknowledged design concern. No corresponding peer review evaluation found specifically addressing this temporal confound.",1.0,,0,elife-90082,v1
CMP14,R9,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates well-established modeling principles (C7, C8, C9, C10, C11) as SUPPORTED with appropriate citations. No corresponding peer review evaluation found for these theoretical foundations.",5.0,,0,elife-90082,v1
CMP15,R12,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates extensive methodological details (C76-C102) as SUPPORTED, noting clear documentation of task structure, architectures, and parameters. No corresponding peer review evaluation found for these technical specifications.",16.0,,0,elife-90082,v1
CMP16,R13,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates theoretical predictions (C21, C22) as SUPPORTED, noting they are logical hypotheses following from the framework. No corresponding peer review evaluation found for these specific predictions.",2.0,,0,elife-90082,v1
CMP17,R14,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates the finding that RNN outperformed logistic regression (C39) as SUPPORTED based on 86% vs 70% accuracy. No corresponding peer review evaluation found specifically addressing this comparison.,1.0,,0,elife-90082,v1
CMP18,R15,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates stated contributions (C57, C58, C60, C61) as SUPPORTED, noting each is demonstrated through simulation or empirical analysis. While peer reviews touch on C57 and C58 in other contexts, no dedicated evaluation of the contribution claims as a group was found.",4.0,,0,elife-90082,v1
CMP19,R16,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates contextualization within existing literature (C63, C64, C65) as SUPPORTED, noting appropriate connections to prior work. No corresponding peer review evaluation found for these literature positioning claims.",3.0,,0,elife-90082,v1
CMP20,R18,,SUPPORTED,,MINOR,,disjoint,OpenEval evaluates the motivating observation about model fit variation (C1) as SUPPORTED. No corresponding peer review evaluation found specifically addressing this foundational motivation.,1.0,,0,elife-90082,v1
CMP1,R12,R6,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect alignment on personalization methodology (C33, C114, C115). Both recognize the individualized stimulation approach as a strength. OpenEval notes the claim about reducing variability (C115) is somewhat speculative since no direct comparison was made, while peer reviewers explicitly praised this as optimizing signal-to-noise ratio without questioning the interpretation.",3.0,3.0,3,elife-104220,v1
CMP2,R16,R9,UNCERTAIN,SUPPORTED,MINOR,MINOR,partial,"Strong agreement on clinical translation claims (C11, C85, C145-C149). Both appropriately recognize these as speculative future applications. OpenEval rates as UNCERTAIN emphasizing lack of direct evidence in patient populations, while peer reviewers rate as SUPPORTED but explicitly acknowledge these require further validation and are appropriately hedged.",7.0,6.0,6,elife-104220,v1
CMP3,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"High concordance on connectivity findings (C67-C75, C9, C107). Both accept the PC-hippocampus connectivity increases with appropriate statistical corrections. OpenEval provides detailed technical validation of ROI and seed-to-voxel analyses, while peer reviewers explicitly affirmed the connectivity evidence and praised the mechanistic experiments.",9.0,10.0,8,elife-104220,v1
CMP4,R3,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on gamma oscillation findings (C59-C65, C8, C102). Both accept the neurophysiological evidence for increased gamma after dual stimulation. OpenEval validates statistical corrections and spatial specificity, while peer reviewers explicitly stated authors 'provide evidence that dual stimulation increased gamma oscillations' and praised the mechanistic experiments.",8.0,9.0,7,elife-104220,v1
CMP5,R5,R5,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on white matter correlation findings (C76-C79, C111, C113). Both accept the MdLF integrity correlation with connectivity changes. OpenEval notes this is correlational not causal and mentions sample size considerations, while peer reviewers acknowledged the structure-function relationship without raising concerns about interpretation.",4.0,6.0,4,elife-104220,v1
CMP6,R6,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both support behavioral memory enhancement findings (C5-C7, C80-C82). OpenEval R6 covers summary claims while peer R1 includes detailed statistical claims (C38-C39, C41-C43, C52, C54-C56). Both recognize convergent evidence across experiments with replication. Peer reviewers explicitly praised methodological quality and replication, while OpenEval validated statistical rigor.",6.0,15.0,6,elife-104220,v1
CMP7,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on Experiment 1 behavioral findings. OpenEval R1 covers comprehensive experimental design and statistics (C3, C32-C49), while peer R1 focuses on subset of behavioral outcomes (C38-C39, C41-C43). Both strongly support the findings with OpenEval providing detailed statistical validation and peer reviewers affirming 'solid methods and evidence.'",19.0,15.0,5,elife-104220,v1
CMP8,R2,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on Experiment 2 replication. OpenEval R2 addresses replication study (C50-C57) noting smaller sample and limited controls as minor limitations, while peer R1 includes subset of these claims (C52, C54-C56) and explicitly commended the conceptual replication as increasing confidence in results.",8.0,15.0,4,elife-104220,v1
CMP9,R1,R7,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Partial overlap on safety and tolerability. OpenEval R1 includes experimental design claims (C3, C32, C36-C37) as part of comprehensive validation, while peer R7 specifically highlights the brief intervention duration and tolerability. Both support these aspects without concerns.",19.0,4.0,4,elife-104220,v1
CMP10,R8,R2,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on negative control findings (C45, C83). OpenEval R8 validates that iTBS alone showed no difference from sham, while peer R2 implicitly accepts these through praise of methodological quality and within-subject design. Both recognize importance of negative findings for establishing combination necessity.",2.0,5.0,2,elife-104220,v1
CMP11,R10,R2,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on short-term memory specificity (C47, C57, C93). OpenEval R10 validates no effects on STMB with appropriate literature context (C94-C95), while peer R2 accepts these negative findings through overall methodological endorsement. Both recognize this establishes intervention specificity.",5.0,5.0,3,elife-104220,v1
CMP12,R14,R10,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Agreement on study limitations (C132-C133, C138-C139). OpenEval R14 validates these as reasonable limitations given methodological constraints, while peer R10 accepts them as not undermining main findings. Both recognize these are appropriate acknowledgments that don't constitute serious flaws.",10.0,4.0,4,elife-104220,v1
CMP13,R7,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial agreement on mechanistic interpretation (C10, C84, C106, C124-C125, C127). OpenEval rates as SUPPORTED but notes these are plausible interpretations going beyond direct demonstration, while peer reviewers explicitly accepted the theta-gamma coupling mechanism and praised the theoretical framework without challenging the proposed mechanism.",7.0,6.0,3,elife-104220,v1
CMP14,R7,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Overlap on mechanistic summary claims linking gamma to memory (C8, C102). OpenEval R7 groups these with broader mechanistic interpretations noting some speculation, while peer R3 explicitly affirms the gamma oscillation evidence. Both ultimately support but OpenEval more cautious about causal claims.",7.0,9.0,2,elife-104220,v1
CMP15,R7,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Overlap on mechanistic summary for connectivity (C9, C107). OpenEval R7 includes these in mechanistic interpretations with caution about going beyond direct demonstration, while peer R4 explicitly affirms connectivity evidence. Both support but OpenEval emphasizes interpretive nature.",7.0,10.0,2,elife-104220,v1
CMP16,R11,R3,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Agreement on spatial specificity (C61). OpenEval R11 validates control region analysis showing spatial specificity (C61, C88-C89), while peer R3 implicitly accepts through praise of methodological quality. Both recognize this strengthens targeted stimulation interpretation.",3.0,9.0,1,elife-104220,v1
CMP17,R13,R8,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Partial overlap on mechanistic hypothesis (C124-C125, C127). OpenEval R13 provides detailed validation of tACS-iTBS synergy mechanism with literature support but notes it remains proposed rather than definitively proven, while peer R8 accepts the theta-gamma coupling rationale. Both support the theoretical framework.",15.0,6.0,3,elife-104220,v1
CMP18,R18,R5,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Minimal overlap on interpretive integration (C111, C113). OpenEval R18 covers broad interpretive claims integrating findings with literature, noting some speculation about precise mechanisms, while peer R5 specifically addresses structure-function relationship. Both support with appropriate caveats.",14.0,6.0,2,elife-104220,v1
CMP19,R9,,SUPPORTED,,MINOR,,disjoint,"OpenEval R9 addresses face-name association specificity (C96-C101, C44, C46, C98-C99) with detailed analysis showing smaller effects and cognitive psychology interpretation. No corresponding peer review evaluation found addressing this specific pattern of results.",8.0,,0,elife-104220,v1
CMP20,R11,,SUPPORTED,,MINOR,,disjoint,"OpenEval R11 specifically validates spatial specificity through control region analysis (C88-C89) beyond what peer reviewers explicitly addressed. While peer reviewers praised overall methodology, they did not specifically comment on the control region findings.",3.0,,0,elife-104220,v1
